Name,volume,group_games,college_life_and_alumni,sports,art_and_culture,comedy,theater_and_performing_arts,outdoor_recreation,seasonal_and_holidays,educational_events,local_and_neighborhood_pride,classical_music,pop_rock,alternative_rock,electronic_music,hip_hop_and_rnb,jazz_and_blues,country_and_folk,festivals_fairs_and_attractions,movies_and_cinema
professionals,718,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0
league,705,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new years,702,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
college,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clubplanet,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swimming,688,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
small,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lounge,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
social,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concerts,671,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
religious,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charity,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
communityservice,638,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
charity,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nba,637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bar,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nationalbasketballassociation,634,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
race,627,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shows,626,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
campus,624,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minority,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
punk,616,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
under,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
musical,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classical,601,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
vocal,594,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
art,594,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camp,592,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dancing,589,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
comedian,588,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
